date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:19:09	17132/17132	---M--	200	added ('OK')	image/jpeg	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/products/3.jpg	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/products/3.jpg	(from http://www.webstrot.com/html/weapon/)
19:19:11	22461/22461	---M--	200	added ('OK')	image/jpeg	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/products/4.jpg	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/products/4.jpg	(from http://www.webstrot.com/html/weapon/)
19:19:14	26334/26334	---M--	200	added ('OK')	image/jpeg	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/gallery/1.jpg	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/gallery/1.jpg	(from http://www.webstrot.com/html/weapon/)
19:19:16	34972/34972	---M--	200	added ('OK')	image/jpeg	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/gallery/4.jpg	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/gallery/4.jpg	(from http://www.webstrot.com/html/weapon/)
19:19:16	7862/7862	---M--	200	added ('OK')	image/jpeg	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/gallery/3.jpg	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/gallery/3.jpg	(from http://www.webstrot.com/html/weapon/)
19:19:17	43693/43693	---M--	200	added ('OK')	image/jpeg	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/gallery/2.jpg	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/gallery/2.jpg	(from http://www.webstrot.com/html/weapon/)
19:19:19	149373/149373	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/banner/1.png	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/banner/1.png	(from http://www.webstrot.com/html/weapon/)
19:19:19	5709/5709	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/client/1.png	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/client/1.png	(from http://www.webstrot.com/html/weapon/)
19:19:20	5797/5797	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/client/2.png	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/client/2.png	(from http://www.webstrot.com/html/weapon/)
19:19:20	6428/6428	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/client/3.png	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/client/3.png	(from http://www.webstrot.com/html/weapon/)
19:19:21	5090/5090	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/client/4.png	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/client/4.png	(from http://www.webstrot.com/html/weapon/)
19:19:21	5337/5337	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/client/5.png	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/client/5.png	(from http://www.webstrot.com/html/weapon/)
19:19:23	6869/6869	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/client/6.png	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/client/6.png	(from http://www.webstrot.com/html/weapon/)
19:19:23	48838/48838	---M--	200	added ('OK')	image/jpeg	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/gallery/6.jpg	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/gallery/6.jpg	(from http://www.webstrot.com/html/weapon/)
19:19:23	4570/4570	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/client/7.png	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/client/7.png	(from http://www.webstrot.com/html/weapon/)
19:19:23	48818/48818	---M--	200	added ('OK')	image/jpeg	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/gallery/5.jpg	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/gallery/5.jpg	(from http://www.webstrot.com/html/weapon/)
19:19:23	5037/5037	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/client/8.png	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/client/8.png	(from http://www.webstrot.com/html/weapon/)
19:19:23	3906/3906	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/client/9.png	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/client/9.png	(from http://www.webstrot.com/html/weapon/)
19:19:24	4730/4730	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/client/10.png	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/client/10.png	(from http://www.webstrot.com/html/weapon/)
19:19:24	3829/3829	---M--	200	added ('OK')	image/jpeg	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/blog/sm-1.jpg	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/blog/sm-1.jpg	(from http://www.webstrot.com/html/weapon/)
19:19:25	16615/16615	---M--	200	added ('OK')	image/jpeg	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/blog/sm-2.jpg	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/blog/sm-2.jpg	(from http://www.webstrot.com/html/weapon/)
19:19:25	3645/3645	---M--	200	added ('OK')	image/jpeg	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/products/sm1.jpg	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/products/sm1.jpg	(from http://www.webstrot.com/html/weapon/)
19:19:25	3144/3144	---M--	200	added ('OK')	image/jpeg	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/products/sm2.jpg	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/products/sm2.jpg	(from http://www.webstrot.com/html/weapon/)
19:19:25	3659/3659	---M--	200	added ('OK')	image/jpeg	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/products/sm3.jpg	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/products/sm3.jpg	(from http://www.webstrot.com/html/weapon/)
19:19:25	3197/3197	---M--	200	added ('OK')	image/jpeg	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/products/sm4.jpg	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/products/sm4.jpg	(from http://www.webstrot.com/html/weapon/)
19:19:30	24989/24989	---M--	200	added ('OK')	application/javascript	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/js/tether.min.js	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/js/tether.min.js	(from http://www.webstrot.com/html/weapon/)
19:19:31	23890/23890	---M--	200	added ('OK')	application/javascript	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/js/owl.carousel.min.js	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/js/owl.carousel.min.js	(from http://www.webstrot.com/html/weapon/)
19:19:32	37051/37051	---M--	200	added ('OK')	application/javascript	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/js/bootstrap.min.js	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/js/bootstrap.min.js	(from http://www.webstrot.com/html/weapon/)
19:19:33	19359/19359	---M--	200	added ('OK')	application/javascript	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/js/jquery.bxslider.min.js	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/js/jquery.bxslider.min.js	(from http://www.webstrot.com/html/weapon/)
19:19:34	4027/4027	---M--	200	added ('OK')	application/javascript	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/js/jquery.meanmenu.js	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/js/jquery.meanmenu.js	(from http://www.webstrot.com/html/weapon/)
19:19:36	20216/20216	---M--	200	added ('OK')	application/javascript	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/js/jquery.magnific-popup.min.js	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/js/jquery.magnific-popup.min.js	(from http://www.webstrot.com/html/weapon/)
19:19:37	86659/86659	---M--	200	added ('OK')	application/javascript	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/js/vendor/jquery-3.2.1.min.js	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/js/vendor/jquery-3.2.1.min.js	(from http://www.webstrot.com/html/weapon/)
